"","county1","total_mig_in","total_mig_out","total_mig_net","county_name","county_state"
"1","Abbeville County, South Carolina",296,0,296,"Abbeville County","South Carolina"
"2","Ada County, Idaho",376,327,49,"Ada County","Idaho"
"3","Adair County, Kentucky",16,128,-112,"Adair County","Kentucky"
"4","Adair County, Oklahoma",0,48,-48,"Adair County","Oklahoma"
"5","Adams County, Colorado",630,55,575,"Adams County","Colorado"
"6","Adams County, Indiana",113,0,113,"Adams County","Indiana"
"7","Adams County, Ohio",2219,2616,-397,"Adams County","Ohio"
"8","Adams County, Wisconsin",0,24,-24,"Adams County","Wisconsin"
"9","Addison County, Vermont",28,30,-2,"Addison County","Vermont"
"10","Aiken County, South Carolina",103,92,11,"Aiken County","South Carolina"
"11","Alachua County, Florida",414,384,30,"Alachua County","Florida"
"12","Alamance County, North Carolina",39,97,-58,"Alamance County","North Carolina"
"13","Alameda County, California",811,579,232,"Alameda County","California"
"14","Albany County, New York",122,208,-86,"Albany County","New York"
"15","Albany County, Wyoming",0,13,-13,"Albany County","Wyoming"
"16","Albemarle County, Virginia",321,475,-154,"Albemarle County","Virginia"
"17","Alcorn County, Mississippi",46,0,46,"Alcorn County","Mississippi"
"18","Alexandria city, Virginia",141,325,-184,"Alexandria city","Virginia"
"19","Allegan County, Michigan",0,146,-146,"Allegan County","Michigan"
"20","Allegany County, Maryland",2,0,2,"Allegany County","Maryland"
"21","Allegany County, New York",78,60,18,"Allegany County","New York"
"22","Allegheny County, Pennsylvania",3010,3636,-626,"Allegheny County","Pennsylvania"
"23","Allen County, Indiana",2198,423,1775,"Allen County","Indiana"
"24","Allen County, Kentucky",99,89,10,"Allen County","Kentucky"
"25","Allen County, Ohio",3004,1466,1538,"Allen County","Ohio"
"26","Amherst County, Virginia",19,15,4,"Amherst County","Virginia"
"27","Anchorage Municipality, Alaska",2280,58,2222,"Anchorage Municipality","Alaska"
"28","Anderson County, Kentucky",360,4,356,"Anderson County","Kentucky"
"29","Anderson County, South Carolina",153,118,35,"Anderson County","South Carolina"
"30","Anderson County, Tennessee",47,9,38,"Anderson County","Tennessee"
"31","Androscoggin County, Maine",0,768,-768,"Androscoggin County","Maine"
"32","Angelina County, Texas",1,0,1,"Angelina County","Texas"
"33","Anne Arundel County, Maryland",509,368,141,"Anne Arundel County","Maryland"
"34","Anoka County, Minnesota",566,28,538,"Anoka County","Minnesota"
"35","Antrim County, Michigan",0,48,-48,"Antrim County","Michigan"
"36","Apache County, Arizona",0,2,-2,"Apache County","Arizona"
"37","Arapahoe County, Colorado",131,515,-384,"Arapahoe County","Colorado"
"38","Arlington County, Virginia",756,488,268,"Arlington County","Virginia"
"39","Armstrong County, Pennsylvania",0,118,-118,"Armstrong County","Pennsylvania"
"40","Ascension Parish, Louisiana",0,158,-158,"Ascension Parish","Louisiana"
"41","Ashland County, Ohio",68,233,-165,"Ashland County","Ohio"
"42","Ashtabula County, Ohio",315,110,205,"Ashtabula County","Ohio"
"43","Atchison County, Kansas",0,44,-44,"Atchison County","Kansas"
"44","Athens County, Ohio",2561,5335,-2774,"Athens County","Ohio"
"45","Atlantic County, New Jersey",590,606,-16,"Atlantic County","New Jersey"
"46","Attala County, Mississippi",0,143,-143,"Attala County","Mississippi"
"47","Audrain County, Missouri",0,100,-100,"Audrain County","Missouri"
"48","Auglaize County, Ohio",813,138,675,"Auglaize County","Ohio"
"49","Baldwin County, Alabama",77,233,-156,"Baldwin County","Alabama"
"50","Baldwin County, Georgia",0,1,-1,"Baldwin County","Georgia"
"51","Ballard County, Kentucky",30,12,18,"Ballard County","Kentucky"
"52","Baltimore city, Maryland",845,838,7,"Baltimore city","Maryland"
"53","Baltimore County, Maryland",1052,723,329,"Baltimore County","Maryland"
"54","Bannock County, Idaho",0,136,-136,"Bannock County","Idaho"
"55","Barnstable County, Massachusetts",136,0,136,"Barnstable County","Massachusetts"
"56","Barren County, Kentucky",42,1,41,"Barren County","Kentucky"
"57","Bartholomew County, Indiana",352,111,241,"Bartholomew County","Indiana"
"58","Bastrop County, Texas",59,0,59,"Bastrop County","Texas"
"59","Bates County, Missouri",0,30,-30,"Bates County","Missouri"
"60","Bath County, Kentucky",43,55,-12,"Bath County","Kentucky"
"61","Bay County, Florida",57,404,-347,"Bay County","Florida"
"62","Beaufort County, South Carolina",512,913,-401,"Beaufort County","South Carolina"
"63","Beauregard Parish, Louisiana",0,166,-166,"Beauregard Parish","Louisiana"
"64","Beaver County, Pennsylvania",704,1230,-526,"Beaver County","Pennsylvania"
"65","Bedford County, Tennessee",46,120,-74,"Bedford County","Tennessee"
"66","Bell County, Kentucky",137,279,-142,"Bell County","Kentucky"
"67","Bell County, Texas",422,408,14,"Bell County","Texas"
"68","Belmont County, Ohio",802,281,521,"Belmont County","Ohio"
"69","Benewah County, Idaho",0,17,-17,"Benewah County","Idaho"
"70","Bennett County, South Dakota",83,0,83,"Bennett County","South Dakota"
"71","Benton County, Arkansas",438,100,338,"Benton County","Arkansas"
"72","Benton County, Washington",120,0,120,"Benton County","Washington"
"73","Benzie County, Michigan",0,94,-94,"Benzie County","Michigan"
"74","Bergen County, New Jersey",272,52,220,"Bergen County","New Jersey"
"75","Berkeley County, South Carolina",201,415,-214,"Berkeley County","South Carolina"
"76","Berkeley County, West Virginia",13,0,13,"Berkeley County","West Virginia"
"77","Berks County, Pennsylvania",186,22,164,"Berks County","Pennsylvania"
"78","Berkshire County, Massachusetts",0,44,-44,"Berkshire County","Massachusetts"
"79","Bernalillo County, New Mexico",71,101,-30,"Bernalillo County","New Mexico"
"80","Berrien County, Georgia",0,20,-20,"Berrien County","Georgia"
"81","Berrien County, Michigan",288,132,156,"Berrien County","Michigan"
"82","Bethel Census Area, Alaska",34,0,34,"Bethel Census Area","Alaska"
"83","Bexar County, Texas",957,725,232,"Bexar County","Texas"
"84","Bibb County, Georgia",0,372,-372,"Bibb County","Georgia"
"85","Black Hawk County, Iowa",40,0,40,"Black Hawk County","Iowa"
"86","Blackford County, Indiana",27,0,27,"Blackford County","Indiana"
"87","Blaine County, Oklahoma",0,6,-6,"Blaine County","Oklahoma"
"88","Blair County, Pennsylvania",162,230,-68,"Blair County","Pennsylvania"
"89","Blount County, Tennessee",163,61,102,"Blount County","Tennessee"
"90","Bolivar County, Mississippi",59,0,59,"Bolivar County","Mississippi"
"91","Bond County, Illinois",0,2,-2,"Bond County","Illinois"
"92","Bonner County, Idaho",0,377,-377,"Bonner County","Idaho"
"93","Boone County, Illinois",111,0,111,"Boone County","Illinois"
"94","Boone County, Indiana",176,40,136,"Boone County","Indiana"
"95","Boone County, Missouri",559,196,363,"Boone County","Missouri"
"96","Bossier Parish, Louisiana",67,88,-21,"Bossier Parish","Louisiana"
"97","Boulder County, Colorado",77,810,-733,"Boulder County","Colorado"
"98","Bourbon County, Kentucky",309,188,121,"Bourbon County","Kentucky"
"99","Box Butte County, Nebraska",0,20,-20,"Box Butte County","Nebraska"
"100","Box Elder County, Utah",67,0,67,"Box Elder County","Utah"
"101","Boyd County, Kentucky",175,663,-488,"Boyd County","Kentucky"
"102","Boyle County, Kentucky",520,222,298,"Boyle County","Kentucky"
"103","Bradley County, Tennessee",43,504,-461,"Bradley County","Tennessee"
"104","Branch County, Michigan",0,74,-74,"Branch County","Michigan"
"105","Braxton County, West Virginia",0,34,-34,"Braxton County","West Virginia"
"106","Brazoria County, Texas",74,119,-45,"Brazoria County","Texas"
"107","Brazos County, Texas",242,170,72,"Brazos County","Texas"
"108","Breathitt County, Kentucky",87,78,9,"Breathitt County","Kentucky"
"109","Breckinridge County, Kentucky",0,132,-132,"Breckinridge County","Kentucky"
"110","Brevard County, Florida",584,1913,-1329,"Brevard County","Florida"
"111","Bristol County, Massachusetts",0,410,-410,"Bristol County","Massachusetts"
"112","Bronx County, New York",644,0,644,"Bronx County","New York"
"113","Brooke County, West Virginia",0,61,-61,"Brooke County","West Virginia"
"114","Broome County, New York",44,304,-260,"Broome County","New York"
"115","Broomfield County, Colorado",25,99,-74,"Broomfield County","Colorado"
"116","Broward County, Florida",855,1753,-898,"Broward County","Florida"
"117","Brown County, Texas",0,17,-17,"Brown County","Texas"
"118","Brown County, Wisconsin",414,0,414,"Brown County","Wisconsin"
"119","Brunswick County, North Carolina",103,0,103,"Brunswick County","North Carolina"
"120","Bryan County, Georgia",41,0,41,"Bryan County","Georgia"
"121","Buchanan County, Missouri",173,0,173,"Buchanan County","Missouri"
"122","Buchanan County, Virginia",139,8,131,"Buchanan County","Virginia"
"123","Bucks County, Pennsylvania",754,354,400,"Bucks County","Pennsylvania"
"124","Buena Vista city, Virginia",0,33,-33,"Buena Vista city","Virginia"
"125","Buena Vista County, Iowa",0,8,-8,"Buena Vista County","Iowa"
"126","Bullitt County, Kentucky",927,952,-25,"Bullitt County","Kentucky"
"127","Bulloch County, Georgia",99,0,99,"Bulloch County","Georgia"
"128","Buncombe County, North Carolina",1534,457,1077,"Buncombe County","North Carolina"
"129","Bureau County, Illinois",23,0,23,"Bureau County","Illinois"
"130","Burke County, Georgia",21,0,21,"Burke County","Georgia"
