"","county1","year","total_mig_in","total_mig_out","total_mig_net","county_name","county_state"
"1","Abbeville County, South Carolina",2011,60,0,60,"Abbeville County","South Carolina"
"2","Abbeville County, South Carolina",2012,59,0,59,"Abbeville County","South Carolina"
"3","Abbeville County, South Carolina",2013,67,0,67,"Abbeville County","South Carolina"
"4","Abbeville County, South Carolina",2014,58,0,58,"Abbeville County","South Carolina"
"5","Abbeville County, South Carolina",2015,52,0,52,"Abbeville County","South Carolina"
"6","Ada County, Idaho",2009,0,127,-127,"Ada County","Idaho"
"7","Ada County, Idaho",2010,78,122,-44,"Ada County","Idaho"
"8","Ada County, Idaho",2011,57,13,44,"Ada County","Idaho"
"9","Ada County, Idaho",2012,45,16,29,"Ada County","Idaho"
"10","Ada County, Idaho",2013,74,18,56,"Ada County","Idaho"
"11","Ada County, Idaho",2014,79,16,63,"Ada County","Idaho"
"12","Ada County, Idaho",2015,43,15,28,"Ada County","Idaho"
"13","Adair County, Kentucky",2011,0,21,-21,"Adair County","Kentucky"
"14","Adair County, Kentucky",2012,0,30,-30,"Adair County","Kentucky"
"15","Adair County, Kentucky",2013,0,21,-21,"Adair County","Kentucky"
"16","Adair County, Kentucky",2014,0,26,-26,"Adair County","Kentucky"
"17","Adair County, Kentucky",2015,16,30,-14,"Adair County","Kentucky"
"18","Adair County, Oklahoma",2009,0,15,-15,"Adair County","Oklahoma"
"19","Adair County, Oklahoma",2010,0,17,-17,"Adair County","Oklahoma"
"20","Adair County, Oklahoma",2011,0,16,-16,"Adair County","Oklahoma"
"21","Adams County, Colorado",2009,24,9,15,"Adams County","Colorado"
"22","Adams County, Colorado",2010,118,6,112,"Adams County","Colorado"
"23","Adams County, Colorado",2011,92,6,86,"Adams County","Colorado"
"24","Adams County, Colorado",2012,101,6,95,"Adams County","Colorado"
"25","Adams County, Colorado",2013,112,12,100,"Adams County","Colorado"
"26","Adams County, Colorado",2014,138,8,130,"Adams County","Colorado"
"27","Adams County, Colorado",2015,45,8,37,"Adams County","Colorado"
"28","Adams County, Indiana",2010,15,0,15,"Adams County","Indiana"
"29","Adams County, Indiana",2011,23,0,23,"Adams County","Indiana"
"30","Adams County, Indiana",2012,26,0,26,"Adams County","Indiana"
"31","Adams County, Indiana",2013,22,0,22,"Adams County","Indiana"
"32","Adams County, Indiana",2014,27,0,27,"Adams County","Indiana"
"33","Adams County, Ohio",2009,458,377,81,"Adams County","Ohio"
"34","Adams County, Ohio",2010,299,483,-184,"Adams County","Ohio"
"35","Adams County, Ohio",2011,248,511,-263,"Adams County","Ohio"
"36","Adams County, Ohio",2012,277,377,-100,"Adams County","Ohio"
"37","Adams County, Ohio",2013,316,359,-43,"Adams County","Ohio"
"38","Adams County, Ohio",2014,304,261,43,"Adams County","Ohio"
"39","Adams County, Ohio",2015,317,248,69,"Adams County","Ohio"
"40","Adams County, Wisconsin",2012,0,6,-6,"Adams County","Wisconsin"
"41","Adams County, Wisconsin",2013,0,6,-6,"Adams County","Wisconsin"
"42","Adams County, Wisconsin",2014,0,6,-6,"Adams County","Wisconsin"
"43","Adams County, Wisconsin",2015,0,6,-6,"Adams County","Wisconsin"
"44","Addison County, Vermont",2012,0,12,-12,"Addison County","Vermont"
"45","Addison County, Vermont",2013,0,6,-6,"Addison County","Vermont"
"46","Addison County, Vermont",2014,14,4,10,"Addison County","Vermont"
"47","Addison County, Vermont",2015,14,8,6,"Addison County","Vermont"
"48","Aiken County, South Carolina",2009,52,0,52,"Aiken County","South Carolina"
"49","Aiken County, South Carolina",2010,17,0,17,"Aiken County","South Carolina"
"50","Aiken County, South Carolina",2011,34,0,34,"Aiken County","South Carolina"
"51","Aiken County, South Carolina",2012,0,18,-18,"Aiken County","South Carolina"
"52","Aiken County, South Carolina",2013,0,19,-19,"Aiken County","South Carolina"
"53","Aiken County, South Carolina",2014,0,27,-27,"Aiken County","South Carolina"
"54","Aiken County, South Carolina",2015,0,28,-28,"Aiken County","South Carolina"
"55","Alachua County, Florida",2009,19,25,-6,"Alachua County","Florida"
"56","Alachua County, Florida",2010,31,23,8,"Alachua County","Florida"
"57","Alachua County, Florida",2011,42,57,-15,"Alachua County","Florida"
"58","Alachua County, Florida",2012,86,85,1,"Alachua County","Florida"
"59","Alachua County, Florida",2013,65,76,-11,"Alachua County","Florida"
"60","Alachua County, Florida",2014,63,64,-1,"Alachua County","Florida"
"61","Alachua County, Florida",2015,108,54,54,"Alachua County","Florida"
"62","Alamance County, North Carolina",2009,21,30,-9,"Alamance County","North Carolina"
"63","Alamance County, North Carolina",2010,18,34,-16,"Alamance County","North Carolina"
"64","Alamance County, North Carolina",2011,0,15,-15,"Alamance County","North Carolina"
"65","Alamance County, North Carolina",2012,0,18,-18,"Alamance County","North Carolina"
"66","Alameda County, California",2009,74,94,-20,"Alameda County","California"
"67","Alameda County, California",2010,179,81,98,"Alameda County","California"
"68","Alameda County, California",2011,106,91,15,"Alameda County","California"
"69","Alameda County, California",2012,110,76,34,"Alameda County","California"
"70","Alameda County, California",2013,136,89,47,"Alameda County","California"
"71","Alameda County, California",2014,135,70,65,"Alameda County","California"
"72","Alameda County, California",2015,71,78,-7,"Alameda County","California"
"73","Albany County, New York",2009,58,36,22,"Albany County","New York"
"74","Albany County, New York",2010,14,30,-16,"Albany County","New York"
"75","Albany County, New York",2011,12,30,-18,"Albany County","New York"
"76","Albany County, New York",2012,14,38,-24,"Albany County","New York"
"77","Albany County, New York",2013,16,54,-38,"Albany County","New York"
"78","Albany County, New York",2014,0,10,-10,"Albany County","New York"
"79","Albany County, New York",2015,8,10,-2,"Albany County","New York"
"80","Albany County, Wyoming",2012,0,5,-5,"Albany County","Wyoming"
"81","Albany County, Wyoming",2013,0,3,-3,"Albany County","Wyoming"
"82","Albany County, Wyoming",2014,0,2,-2,"Albany County","Wyoming"
"83","Albany County, Wyoming",2015,0,3,-3,"Albany County","Wyoming"
"84","Albemarle County, Virginia",2009,0,83,-83,"Albemarle County","Virginia"
"85","Albemarle County, Virginia",2010,0,98,-98,"Albemarle County","Virginia"
"86","Albemarle County, Virginia",2011,0,95,-95,"Albemarle County","Virginia"
"87","Albemarle County, Virginia",2012,0,56,-56,"Albemarle County","Virginia"
"88","Albemarle County, Virginia",2013,78,73,5,"Albemarle County","Virginia"
"89","Albemarle County, Virginia",2014,94,64,30,"Albemarle County","Virginia"
"90","Albemarle County, Virginia",2015,149,6,143,"Albemarle County","Virginia"
"91","Alcorn County, Mississippi",2010,10,0,10,"Alcorn County","Mississippi"
"92","Alcorn County, Mississippi",2011,10,0,10,"Alcorn County","Mississippi"
"93","Alcorn County, Mississippi",2012,8,0,8,"Alcorn County","Mississippi"
"94","Alcorn County, Mississippi",2013,9,0,9,"Alcorn County","Mississippi"
"95","Alcorn County, Mississippi",2014,9,0,9,"Alcorn County","Mississippi"
"96","Alexandria city, Virginia",2009,10,82,-72,"Alexandria city","Virginia"
"97","Alexandria city, Virginia",2010,30,105,-75,"Alexandria city","Virginia"
"98","Alexandria city, Virginia",2011,33,86,-53,"Alexandria city","Virginia"
"99","Alexandria city, Virginia",2012,33,19,14,"Alexandria city","Virginia"
"100","Alexandria city, Virginia",2013,14,11,3,"Alexandria city","Virginia"
"101","Alexandria city, Virginia",2014,14,0,14,"Alexandria city","Virginia"
"102","Alexandria city, Virginia",2015,7,22,-15,"Alexandria city","Virginia"
"103","Allegan County, Michigan",2011,0,32,-32,"Allegan County","Michigan"
"104","Allegan County, Michigan",2012,0,28,-28,"Allegan County","Michigan"
"105","Allegan County, Michigan",2013,0,28,-28,"Allegan County","Michigan"
"106","Allegan County, Michigan",2014,0,28,-28,"Allegan County","Michigan"
"107","Allegan County, Michigan",2015,0,30,-30,"Allegan County","Michigan"
"108","Allegany County, Maryland",2015,2,0,2,"Allegany County","Maryland"
"109","Allegany County, New York",2009,0,30,-30,"Allegany County","New York"
"110","Allegany County, New York",2010,0,30,-30,"Allegany County","New York"
"111","Allegany County, New York",2013,40,0,40,"Allegany County","New York"
"112","Allegany County, New York",2014,24,0,24,"Allegany County","New York"
"113","Allegany County, New York",2015,14,0,14,"Allegany County","New York"
"114","Allegheny County, Pennsylvania",2009,520,284,236,"Allegheny County","Pennsylvania"
"115","Allegheny County, Pennsylvania",2010,434,412,22,"Allegheny County","Pennsylvania"
"116","Allegheny County, Pennsylvania",2011,390,514,-124,"Allegheny County","Pennsylvania"
"117","Allegheny County, Pennsylvania",2012,462,544,-82,"Allegheny County","Pennsylvania"
"118","Allegheny County, Pennsylvania",2013,402,508,-106,"Allegheny County","Pennsylvania"
"119","Allegheny County, Pennsylvania",2014,378,604,-226,"Allegheny County","Pennsylvania"
"120","Allegheny County, Pennsylvania",2015,424,770,-346,"Allegheny County","Pennsylvania"
"121","Allen County, Indiana",2009,375,146,229,"Allen County","Indiana"
"122","Allen County, Indiana",2010,421,103,318,"Allen County","Indiana"
"123","Allen County, Indiana",2011,463,46,417,"Allen County","Indiana"
"124","Allen County, Indiana",2012,416,44,372,"Allen County","Indiana"
"125","Allen County, Indiana",2013,133,22,111,"Allen County","Indiana"
"126","Allen County, Indiana",2014,194,31,163,"Allen County","Indiana"
"127","Allen County, Indiana",2015,196,31,165,"Allen County","Indiana"
"128","Allen County, Kentucky",2009,0,17,-17,"Allen County","Kentucky"
"129","Allen County, Kentucky",2010,0,16,-16,"Allen County","Kentucky"
"130","Allen County, Kentucky",2011,0,8,-8,"Allen County","Kentucky"
"131","Allen County, Kentucky",2012,0,8,-8,"Allen County","Kentucky"
"132","Allen County, Kentucky",2013,0,6,-6,"Allen County","Kentucky"
"133","Allen County, Kentucky",2014,48,14,34,"Allen County","Kentucky"
"134","Allen County, Kentucky",2015,51,20,31,"Allen County","Kentucky"
"135","Allen County, Ohio",2009,443,69,374,"Allen County","Ohio"
"136","Allen County, Ohio",2010,476,160,316,"Allen County","Ohio"
"137","Allen County, Ohio",2011,580,173,407,"Allen County","Ohio"
"138","Allen County, Ohio",2012,479,279,200,"Allen County","Ohio"
"139","Allen County, Ohio",2013,320,270,50,"Allen County","Ohio"
"140","Allen County, Ohio",2014,336,242,94,"Allen County","Ohio"
"141","Allen County, Ohio",2015,370,273,97,"Allen County","Ohio"
"142","Amherst County, Virginia",2012,0,5,-5,"Amherst County","Virginia"
"143","Amherst County, Virginia",2013,0,4,-4,"Amherst County","Virginia"
"144","Amherst County, Virginia",2014,0,3,-3,"Amherst County","Virginia"
"145","Amherst County, Virginia",2015,19,3,16,"Amherst County","Virginia"
"146","Anchorage Municipality, Alaska",2009,106,10,96,"Anchorage Municipality","Alaska"
"147","Anchorage Municipality, Alaska",2010,110,12,98,"Anchorage Municipality","Alaska"
"148","Anchorage Municipality, Alaska",2011,545,11,534,"Anchorage Municipality","Alaska"
"149","Anchorage Municipality, Alaska",2012,479,13,466,"Anchorage Municipality","Alaska"
"150","Anchorage Municipality, Alaska",2013,479,0,479,"Anchorage Municipality","Alaska"
"151","Anchorage Municipality, Alaska",2014,367,0,367,"Anchorage Municipality","Alaska"
"152","Anchorage Municipality, Alaska",2015,194,12,182,"Anchorage Municipality","Alaska"
"153","Anderson County, Kentucky",2009,62,0,62,"Anderson County","Kentucky"
"154","Anderson County, Kentucky",2010,64,0,64,"Anderson County","Kentucky"
"155","Anderson County, Kentucky",2011,73,1,72,"Anderson County","Kentucky"
"156","Anderson County, Kentucky",2012,65,1,64,"Anderson County","Kentucky"
"157","Anderson County, Kentucky",2013,49,1,48,"Anderson County","Kentucky"
"158","Anderson County, Kentucky",2014,14,1,13,"Anderson County","Kentucky"
