"","county_state","total_mig_in","total_mig_out","total_mig_net"
"1","Alabama",1287,3095,-1808
"2","Alaska",3772,503,3269
"3","Arizona",3137,4073,-936
"4","Arkansas",1521,1296,225
"5","California",13423,12668,755
"6","Colorado",2581,5124,-2543
"7","Connecticut",2758,4420,-1662
"8","Delaware",1063,285,778
"9","District of Columbia",1257,1038,219
"10","Florida",20891,27423,-6532
"11","Georgia",8920,13005,-4085
"12","Hawaii",851,1149,-298
"13","Idaho",796,1030,-234
"14","Illinois",13429,12742,687
"15","Indiana",32705,32768,-63
"16","Iowa",1061,2298,-1237
"17","Kansas",2024,2374,-350
"18","Kentucky",45967,57671,-11704
"19","Louisiana",1688,2583,-895
"20","Maine",616,1210,-594
"21","Maryland",4726,3888,838
"22","Massachusetts",7724,8876,-1152
"23","Michigan",25368,19112,6256
"24","Minnesota",7882,4514,3368
"25","Mississippi",1388,1040,348
"26","Missouri",4918,4701,217
"27","Montana",71,214,-143
"28","Nebraska",2193,442,1751
"29","Nevada",779,1849,-1070
"30","New Hampshire",2908,1460,1448
"31","New Jersey",8922,3312,5610
"32","New Mexico",407,276,131
"33","New York",20334,11648,8686
"34","North Carolina",8621,10285,-1664
"35","North Dakota",344,366,-22
"36","Ohio",148996,146542,2454
"37","Oklahoma",1772,2082,-310
"38","Oregon",1200,1670,-470
"39","Pennsylvania",15400,14036,1364
"40","Rhode Island",2416,746,1670
"41","South Carolina",4462,7086,-2624
"42","South Dakota",89,195,-106
"43","Tennessee",10189,10211,-22
"44","Texas",11835,12572,-737
"45","Utah",1405,1992,-587
"46","Vermont",196,544,-348
"47","Virginia",7385,7280,105
"48","Washington",3581,4263,-682
"49","West Virginia",3048,2567,481
"50","Wisconsin",4406,3666,740
"51","Wyoming",224,205,19
