"","cbsatitle","county1","county_name","county_state","year","moved_in","moved_out","moved_net","geoid"
"1","Cincinnati, OH-KY-IN","Abbeville County, South Carolina","Abbeville County","South Carolina",2011,60,0,60,45001
"2","Cincinnati, OH-KY-IN","Abbeville County, South Carolina","Abbeville County","South Carolina",2012,59,0,59,45001
"3","Cincinnati, OH-KY-IN","Abbeville County, South Carolina","Abbeville County","South Carolina",2013,67,0,67,45001
"4","Cincinnati, OH-KY-IN","Abbeville County, South Carolina","Abbeville County","South Carolina",2014,58,0,58,45001
"5","Cincinnati, OH-KY-IN","Abbeville County, South Carolina","Abbeville County","South Carolina",2015,52,0,52,45001
"6","Cincinnati, OH-KY-IN","Ada County, Idaho","Ada County","Idaho",2009,0,127,-127,16001
"7","Cincinnati, OH-KY-IN","Ada County, Idaho","Ada County","Idaho",2010,78,122,-44,16001
"8","Cincinnati, OH-KY-IN","Ada County, Idaho","Ada County","Idaho",2011,57,13,44,16001
"9","Cincinnati, OH-KY-IN","Ada County, Idaho","Ada County","Idaho",2012,45,16,29,16001
"10","Cincinnati, OH-KY-IN","Ada County, Idaho","Ada County","Idaho",2013,74,18,56,16001
"11","Cincinnati, OH-KY-IN","Ada County, Idaho","Ada County","Idaho",2014,79,16,63,16001
"12","Cincinnati, OH-KY-IN","Ada County, Idaho","Ada County","Idaho",2015,43,15,28,16001
"13","Cincinnati, OH-KY-IN","Adair County, Kentucky","Adair County","Kentucky",2011,0,21,-21,21001
"14","Cincinnati, OH-KY-IN","Adair County, Kentucky","Adair County","Kentucky",2012,0,30,-30,21001
"15","Cincinnati, OH-KY-IN","Adair County, Kentucky","Adair County","Kentucky",2013,0,21,-21,21001
"16","Cincinnati, OH-KY-IN","Adair County, Kentucky","Adair County","Kentucky",2014,0,26,-26,21001
"17","Cincinnati, OH-KY-IN","Adair County, Kentucky","Adair County","Kentucky",2015,16,30,-14,21001
"18","Cincinnati, OH-KY-IN","Adair County, Oklahoma","Adair County","Oklahoma",2009,0,15,-15,40001
"19","Cincinnati, OH-KY-IN","Adair County, Oklahoma","Adair County","Oklahoma",2010,0,17,-17,40001
"20","Cincinnati, OH-KY-IN","Adair County, Oklahoma","Adair County","Oklahoma",2011,0,16,-16,40001
"21","Cincinnati, OH-KY-IN","Adams County, Colorado","Adams County","Colorado",2009,24,9,15,8001
"22","Cincinnati, OH-KY-IN","Adams County, Colorado","Adams County","Colorado",2010,118,6,112,8001
"23","Cincinnati, OH-KY-IN","Adams County, Colorado","Adams County","Colorado",2011,92,6,86,8001
"24","Cincinnati, OH-KY-IN","Adams County, Colorado","Adams County","Colorado",2012,101,6,95,8001
"25","Cincinnati, OH-KY-IN","Adams County, Colorado","Adams County","Colorado",2013,112,12,100,8001
"26","Cincinnati, OH-KY-IN","Adams County, Colorado","Adams County","Colorado",2014,138,8,130,8001
"27","Cincinnati, OH-KY-IN","Adams County, Colorado","Adams County","Colorado",2015,45,8,37,8001
"28","Cincinnati, OH-KY-IN","Adams County, Indiana","Adams County","Indiana",2010,15,0,15,18001
"29","Cincinnati, OH-KY-IN","Adams County, Indiana","Adams County","Indiana",2011,23,0,23,18001
"30","Cincinnati, OH-KY-IN","Adams County, Indiana","Adams County","Indiana",2012,26,0,26,18001
"31","Cincinnati, OH-KY-IN","Adams County, Indiana","Adams County","Indiana",2013,22,0,22,18001
"32","Cincinnati, OH-KY-IN","Adams County, Indiana","Adams County","Indiana",2014,27,0,27,18001
"33","Cincinnati, OH-KY-IN","Adams County, Ohio","Adams County","Ohio",2009,458,377,81,39001
"34","Cincinnati, OH-KY-IN","Adams County, Ohio","Adams County","Ohio",2010,299,483,-184,39001
"35","Cincinnati, OH-KY-IN","Adams County, Ohio","Adams County","Ohio",2011,248,511,-263,39001
"36","Cincinnati, OH-KY-IN","Adams County, Ohio","Adams County","Ohio",2012,277,377,-100,39001
"37","Cincinnati, OH-KY-IN","Adams County, Ohio","Adams County","Ohio",2013,316,359,-43,39001
"38","Cincinnati, OH-KY-IN","Adams County, Ohio","Adams County","Ohio",2014,304,261,43,39001
"39","Cincinnati, OH-KY-IN","Adams County, Ohio","Adams County","Ohio",2015,317,248,69,39001
"40","Cincinnati, OH-KY-IN","Adams County, Wisconsin","Adams County","Wisconsin",2012,0,3,-3,55001
"41","Cincinnati, OH-KY-IN","Adams County, Wisconsin","Adams County","Wisconsin",2013,0,3,-3,55001
"42","Cincinnati, OH-KY-IN","Adams County, Wisconsin","Adams County","Wisconsin",2014,0,3,-3,55001
"43","Cincinnati, OH-KY-IN","Adams County, Wisconsin","Adams County","Wisconsin",2015,0,3,-3,55001
"44","Cincinnati, OH-KY-IN","Addison County, Vermont","Addison County","Vermont",2012,0,6,-6,50001
"45","Cincinnati, OH-KY-IN","Addison County, Vermont","Addison County","Vermont",2013,0,3,-3,50001
"46","Cincinnati, OH-KY-IN","Addison County, Vermont","Addison County","Vermont",2014,7,2,5,50001
"47","Cincinnati, OH-KY-IN","Addison County, Vermont","Addison County","Vermont",2015,7,4,3,50001
"48","Cincinnati, OH-KY-IN","Aiken County, South Carolina","Aiken County","South Carolina",2009,52,0,52,45003
"49","Cincinnati, OH-KY-IN","Aiken County, South Carolina","Aiken County","South Carolina",2010,17,0,17,45003
"50","Cincinnati, OH-KY-IN","Aiken County, South Carolina","Aiken County","South Carolina",2011,34,0,34,45003
"51","Cincinnati, OH-KY-IN","Aiken County, South Carolina","Aiken County","South Carolina",2012,0,18,-18,45003
"52","Cincinnati, OH-KY-IN","Aiken County, South Carolina","Aiken County","South Carolina",2013,0,19,-19,45003
"53","Cincinnati, OH-KY-IN","Aiken County, South Carolina","Aiken County","South Carolina",2014,0,27,-27,45003
"54","Cincinnati, OH-KY-IN","Aiken County, South Carolina","Aiken County","South Carolina",2015,0,28,-28,45003
"55","Cincinnati, OH-KY-IN","Alachua County, Florida","Alachua County","Florida",2009,19,25,-6,12001
"56","Cincinnati, OH-KY-IN","Alachua County, Florida","Alachua County","Florida",2010,31,23,8,12001
"57","Cincinnati, OH-KY-IN","Alachua County, Florida","Alachua County","Florida",2011,42,57,-15,12001
"58","Cincinnati, OH-KY-IN","Alachua County, Florida","Alachua County","Florida",2012,86,85,1,12001
"59","Cincinnati, OH-KY-IN","Alachua County, Florida","Alachua County","Florida",2013,65,76,-11,12001
"60","Cincinnati, OH-KY-IN","Alachua County, Florida","Alachua County","Florida",2014,63,64,-1,12001
"61","Cincinnati, OH-KY-IN","Alachua County, Florida","Alachua County","Florida",2015,108,54,54,12001
"62","Cincinnati, OH-KY-IN","Alamance County, North Carolina","Alamance County","North Carolina",2009,21,30,-9,37001
"63","Cincinnati, OH-KY-IN","Alamance County, North Carolina","Alamance County","North Carolina",2010,18,34,-16,37001
"64","Cincinnati, OH-KY-IN","Alamance County, North Carolina","Alamance County","North Carolina",2011,0,15,-15,37001
"65","Cincinnati, OH-KY-IN","Alamance County, North Carolina","Alamance County","North Carolina",2012,0,18,-18,37001
"66","Cincinnati, OH-KY-IN","Alameda County, California","Alameda County","California",2009,74,94,-20,6001
"67","Cincinnati, OH-KY-IN","Alameda County, California","Alameda County","California",2010,179,81,98,6001
"68","Cincinnati, OH-KY-IN","Alameda County, California","Alameda County","California",2011,106,91,15,6001
"69","Cincinnati, OH-KY-IN","Alameda County, California","Alameda County","California",2012,110,76,34,6001
"70","Cincinnati, OH-KY-IN","Alameda County, California","Alameda County","California",2013,136,89,47,6001
"71","Cincinnati, OH-KY-IN","Alameda County, California","Alameda County","California",2014,135,70,65,6001
"72","Cincinnati, OH-KY-IN","Alameda County, California","Alameda County","California",2015,71,78,-7,6001
"73","Cincinnati, OH-KY-IN","Albany County, New York","Albany County","New York",2009,29,18,11,36001
"74","Cincinnati, OH-KY-IN","Albany County, New York","Albany County","New York",2010,7,15,-8,36001
"75","Cincinnati, OH-KY-IN","Albany County, New York","Albany County","New York",2011,6,15,-9,36001
"76","Cincinnati, OH-KY-IN","Albany County, New York","Albany County","New York",2012,7,19,-12,36001
"77","Cincinnati, OH-KY-IN","Albany County, New York","Albany County","New York",2013,8,27,-19,36001
"78","Cincinnati, OH-KY-IN","Albany County, New York","Albany County","New York",2014,0,5,-5,36001
"79","Cincinnati, OH-KY-IN","Albany County, New York","Albany County","New York",2015,4,5,-1,36001
"80","Cincinnati, OH-KY-IN","Albany County, Wyoming","Albany County","Wyoming",2012,0,5,-5,56001
"81","Cincinnati, OH-KY-IN","Albany County, Wyoming","Albany County","Wyoming",2013,0,3,-3,56001
"82","Cincinnati, OH-KY-IN","Albany County, Wyoming","Albany County","Wyoming",2014,0,2,-2,56001
"83","Cincinnati, OH-KY-IN","Albany County, Wyoming","Albany County","Wyoming",2015,0,3,-3,56001
"84","Cincinnati, OH-KY-IN","Albemarle County, Virginia","Albemarle County","Virginia",2009,0,83,-83,51003
"85","Cincinnati, OH-KY-IN","Albemarle County, Virginia","Albemarle County","Virginia",2010,0,98,-98,51003
"86","Cincinnati, OH-KY-IN","Albemarle County, Virginia","Albemarle County","Virginia",2011,0,95,-95,51003
"87","Cincinnati, OH-KY-IN","Albemarle County, Virginia","Albemarle County","Virginia",2012,0,56,-56,51003
"88","Cincinnati, OH-KY-IN","Albemarle County, Virginia","Albemarle County","Virginia",2013,78,73,5,51003
"89","Cincinnati, OH-KY-IN","Albemarle County, Virginia","Albemarle County","Virginia",2014,94,64,30,51003
"90","Cincinnati, OH-KY-IN","Albemarle County, Virginia","Albemarle County","Virginia",2015,149,6,143,51003
"91","Cincinnati, OH-KY-IN","Alcorn County, Mississippi","Alcorn County","Mississippi",2010,10,0,10,28003
"92","Cincinnati, OH-KY-IN","Alcorn County, Mississippi","Alcorn County","Mississippi",2011,10,0,10,28003
"93","Cincinnati, OH-KY-IN","Alcorn County, Mississippi","Alcorn County","Mississippi",2012,8,0,8,28003
"94","Cincinnati, OH-KY-IN","Alcorn County, Mississippi","Alcorn County","Mississippi",2013,9,0,9,28003
"95","Cincinnati, OH-KY-IN","Alcorn County, Mississippi","Alcorn County","Mississippi",2014,9,0,9,28003
"96","Cincinnati, OH-KY-IN","Alexandria city, Virginia","Alexandria city","Virginia",2009,10,82,-72,51510
"97","Cincinnati, OH-KY-IN","Alexandria city, Virginia","Alexandria city","Virginia",2010,30,105,-75,51510
"98","Cincinnati, OH-KY-IN","Alexandria city, Virginia","Alexandria city","Virginia",2011,33,86,-53,51510
"99","Cincinnati, OH-KY-IN","Alexandria city, Virginia","Alexandria city","Virginia",2012,33,19,14,51510
"100","Cincinnati, OH-KY-IN","Alexandria city, Virginia","Alexandria city","Virginia",2013,14,11,3,51510
"101","Cincinnati, OH-KY-IN","Alexandria city, Virginia","Alexandria city","Virginia",2014,14,0,14,51510
"102","Cincinnati, OH-KY-IN","Alexandria city, Virginia","Alexandria city","Virginia",2015,7,22,-15,51510
"103","Cincinnati, OH-KY-IN","Allegan County, Michigan","Allegan County","Michigan",2011,0,16,-16,26005
"104","Cincinnati, OH-KY-IN","Allegan County, Michigan","Allegan County","Michigan",2012,0,14,-14,26005
"105","Cincinnati, OH-KY-IN","Allegan County, Michigan","Allegan County","Michigan",2013,0,14,-14,26005
"106","Cincinnati, OH-KY-IN","Allegan County, Michigan","Allegan County","Michigan",2014,0,14,-14,26005
"107","Cincinnati, OH-KY-IN","Allegan County, Michigan","Allegan County","Michigan",2015,0,15,-15,26005
"108","Cincinnati, OH-KY-IN","Allegany County, Maryland","Allegany County","Maryland",2015,2,0,2,24001
"109","Cincinnati, OH-KY-IN","Allegany County, New York","Allegany County","New York",2009,0,15,-15,36003
"110","Cincinnati, OH-KY-IN","Allegany County, New York","Allegany County","New York",2010,0,15,-15,36003
"111","Cincinnati, OH-KY-IN","Allegany County, New York","Allegany County","New York",2013,20,0,20,36003
"112","Cincinnati, OH-KY-IN","Allegany County, New York","Allegany County","New York",2014,12,0,12,36003
"113","Cincinnati, OH-KY-IN","Allegany County, New York","Allegany County","New York",2015,7,0,7,36003
"114","Cincinnati, OH-KY-IN","Allegheny County, Pennsylvania","Allegheny County","Pennsylvania",2009,260,142,118,42003
"115","Cincinnati, OH-KY-IN","Allegheny County, Pennsylvania","Allegheny County","Pennsylvania",2010,217,206,11,42003
"116","Cincinnati, OH-KY-IN","Allegheny County, Pennsylvania","Allegheny County","Pennsylvania",2011,195,257,-62,42003
"117","Cincinnati, OH-KY-IN","Allegheny County, Pennsylvania","Allegheny County","Pennsylvania",2012,231,272,-41,42003
"118","Cincinnati, OH-KY-IN","Allegheny County, Pennsylvania","Allegheny County","Pennsylvania",2013,201,254,-53,42003
"119","Cincinnati, OH-KY-IN","Allegheny County, Pennsylvania","Allegheny County","Pennsylvania",2014,189,302,-113,42003
"120","Cincinnati, OH-KY-IN","Allegheny County, Pennsylvania","Allegheny County","Pennsylvania",2015,212,385,-173,42003
"121","Cincinnati, OH-KY-IN","Allen County, Indiana","Allen County","Indiana",2009,375,146,229,18003
"122","Cincinnati, OH-KY-IN","Allen County, Indiana","Allen County","Indiana",2010,421,103,318,18003
"123","Cincinnati, OH-KY-IN","Allen County, Indiana","Allen County","Indiana",2011,463,46,417,18003
"124","Cincinnati, OH-KY-IN","Allen County, Indiana","Allen County","Indiana",2012,416,44,372,18003
"125","Cincinnati, OH-KY-IN","Allen County, Indiana","Allen County","Indiana",2013,133,22,111,18003
"126","Cincinnati, OH-KY-IN","Allen County, Indiana","Allen County","Indiana",2014,194,31,163,18003
"127","Cincinnati, OH-KY-IN","Allen County, Indiana","Allen County","Indiana",2015,196,31,165,18003
"128","Cincinnati, OH-KY-IN","Allen County, Kentucky","Allen County","Kentucky",2009,0,17,-17,21003
"129","Cincinnati, OH-KY-IN","Allen County, Kentucky","Allen County","Kentucky",2010,0,16,-16,21003
"130","Cincinnati, OH-KY-IN","Allen County, Kentucky","Allen County","Kentucky",2011,0,8,-8,21003
"131","Cincinnati, OH-KY-IN","Allen County, Kentucky","Allen County","Kentucky",2012,0,8,-8,21003
"132","Cincinnati, OH-KY-IN","Allen County, Kentucky","Allen County","Kentucky",2013,0,6,-6,21003
"133","Cincinnati, OH-KY-IN","Allen County, Kentucky","Allen County","Kentucky",2014,48,14,34,21003
"134","Cincinnati, OH-KY-IN","Allen County, Kentucky","Allen County","Kentucky",2015,51,20,31,21003
"135","Cincinnati, OH-KY-IN","Allen County, Ohio","Allen County","Ohio",2009,443,69,374,39003
"136","Cincinnati, OH-KY-IN","Allen County, Ohio","Allen County","Ohio",2010,476,160,316,39003
"137","Cincinnati, OH-KY-IN","Allen County, Ohio","Allen County","Ohio",2011,580,173,407,39003
"138","Cincinnati, OH-KY-IN","Allen County, Ohio","Allen County","Ohio",2012,479,279,200,39003
