cbsatitle,gdp,year
"Abilene, TX (Metropolitan Statistical Area)",6922.5,2013
"Akron, OH (Metropolitan Statistical Area)",31308,2013
"Albany, GA (Metropolitan Statistical Area)",5247,2013
"Albany, OR (Metropolitan Statistical Area)",3558.7,2013
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",47093.6,2013
"Albuquerque, NM (Metropolitan Statistical Area)",37897.5,2013
"Alexandria, LA (Metropolitan Statistical Area)",5485.8,2013
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",35623.8,2013
"Altoona, PA (Metropolitan Statistical Area)",4928.1,2013
"Amarillo, TX (Metropolitan Statistical Area)",12441.9,2013
"Ames, IA (Metropolitan Statistical Area)",4428.7,2013
"Anchorage, AK (Metropolitan Statistical Area)",31029.9,2013
"Ann Arbor, MI (Metropolitan Statistical Area)",20260.2,2013
"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",3690.2,2013
"Appleton, WI (Metropolitan Statistical Area)",10800.7,2013
"Asheville, NC (Metropolitan Statistical Area)",15279.7,2013
"Athens-Clarke County, GA (Metropolitan Statistical Area)",7364,2013
"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",307750,2013
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",12770.4,2013
"Auburn-Opelika, AL (Metropolitan Statistical Area)",4328.2,2013
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",21155.1,2013
"Austin-Round Rock, TX (Metropolitan Statistical Area)",111720.1,2013
"Bakersfield, CA (Metropolitan Statistical Area)",38009.3,2013
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",167270.1,2013
"Bangor, ME (Metropolitan Statistical Area)",5455.1,2013
"Barnstable Town, MA (Metropolitan Statistical Area)",9963.7,2013
"Baton Rouge, LA (Metropolitan Statistical Area)",48361.6,2013
"Battle Creek, MI (Metropolitan Statistical Area)",5588.4,2013
"Bay City, MI (Metropolitan Statistical Area)",3156.7,2013
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",23733.7,2013
"Beckley, WV (Metropolitan Statistical Area)",4235.7,2013
"Bellingham, WA (Metropolitan Statistical Area)",10047,2013
"Bend-Redmond, OR (Metropolitan Statistical Area)",6882.5,2013
"Billings, MT (Metropolitan Statistical Area)",8959.5,2013
"Binghamton, NY (Metropolitan Statistical Area)",9118.5,2013
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",57698.6,2013
"Bismarck, ND (Metropolitan Statistical Area)",6863.2,2013
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",6335.1,2013
"Bloomington, IL (Metropolitan Statistical Area)",11248.7,2013
"Bloomington, IN (Metropolitan Statistical Area)",6192.2,2013
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3603.6,2013
"Boise City, ID (Metropolitan Statistical Area)",27715.1,2013
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",364803.6,2013
"Boulder, CO (Metropolitan Statistical Area)",20969.3,2013
"Bowling Green, KY (Metropolitan Statistical Area)",6284.3,2013
"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",9448.1,2013
"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",92545.2,2013
"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",9365.6,2013
"Brunswick, GA (Metropolitan Statistical Area)",3504.3,2013
